Qty,Value,Device,Package,Parts,Description,MPN
3,.1uf,CAP0805,805,C1-C5-C6,Capacitor,CC0805KRX7R9BB104
2,10k,RESISTOR0805,805,R1,Resistor,RC0805FR-0710KL
1,16 MHz,RESONATORSMD,RESONATOR-SMD,X1,Resonator,CSTCE16M0V53-R0
1,1k,RESISTOR0805-RES,805,R2,Resistor,RC0805FR-071KL
2,1uf,CAP0805,805,C2-C4,Capacitor,CC0805ZRY5V8BB105
2,27,RESISTOR0805-RES,805,R3-R5,Resistor,RC0805FR-0727RL
2,47,RESISTOR0805-RES,805,R4-R6,Resistor,RC0805FR-0747RL 
1,ATMEGA328P-MU,ATMEGA328P-MU,QFN50P500X500X100-33N,U2,ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller - QFN-32,ATMEGA328PB-AU
1,FT231XQ-R,FT231XQ-R,FTDI_FT231XQ-R_PACKAGE,FT231XQ-R,This is the 20-LD QFN package of the FTDI FT231XQ-R chip.,FT231XQ-R
2,LED,LED0805,0805-LED,RX-TX,,LG R971-KN-1
1,MCP1703-3.3V,MCP1703CB,SOT23,IC3,250 mA-16V-Low Quiescent Current LDO Regulator,MCP1703T-2502E/CB
1,RFM69HCW,RFM69HCW,RFM69HCW-XXXS2,U1,,RFM69HW
1,SHOTTKY,RESISTOR0805,805,D,Resistor,SD0805S040S0R5
1,Status,LED0805,0805-LED,U$2,,LG R971-KN-1